2025-03-20 06:00:50 | INFO     | __main__ | [SYSTEM] Initializing Memory Storage...
2025-03-20 06:00:50 | INFO     | __main__ | [SYSTEM] Starting Context Protocol Server...
2025-03-20 06:00:50 | INFO     | __main__ | [SYSTEM] Waiting for server to initialize...
2025-03-20 06:00:52 | INFO     | __main__ | [SYSTEM] Initializing Ranking Agent...
2025-03-20 06:00:52 | INFO     | __main__ | [SYSTEM] Testing integration with sample data...
2025-03-20 06:00:52 | INFO     | __main__ | [SYSTEM] Processing test context with Ranking Agent...
2025-03-20 06:01:16 | INFO     | __main__ | [SYSTEM] Initializing Memory Storage...
2025-03-20 06:01:16 | INFO     | __main__ | [SYSTEM] Starting Context Protocol Server...
2025-03-20 06:01:16 | INFO     | __main__ | [SYSTEM] Waiting for server to initialize...
2025-03-20 06:01:18 | INFO     | __main__ | [SYSTEM] Initializing Ranking Agent...
2025-03-20 06:01:18 | INFO     | __main__ | [SYSTEM] Testing integration with sample data...
2025-03-20 06:01:18 | INFO     | __main__ | [SYSTEM] Processing test context with Ranking Agent...
2025-03-20 06:01:53 | INFO     | __main__ | [SYSTEM] Initializing Memory Storage...
2025-03-20 06:01:53 | INFO     | __main__ | [SYSTEM] Starting Context Protocol Server...
2025-03-20 06:01:53 | INFO     | __main__ | [SYSTEM] Waiting for server to initialize...
2025-03-20 06:01:55 | INFO     | __main__ | [SYSTEM] Initializing Ranking Agent...
2025-03-20 06:01:55 | INFO     | __main__ | [SYSTEM] Testing integration with sample data...
2025-03-20 06:01:55 | INFO     | __main__ | [SYSTEM] Processing test context with Ranking Agent...
2025-03-20 06:02:42 | INFO     | __main__ | [SYSTEM] Initializing Memory Storage...
2025-03-20 06:02:42 | INFO     | __main__ | [SYSTEM] Starting Context Protocol Server...
2025-03-20 06:02:42 | INFO     | __main__ | [SYSTEM] Waiting for server to initialize...
2025-03-20 06:02:44 | INFO     | __main__ | [SYSTEM] Initializing Ranking Agent...
2025-03-20 06:02:44 | INFO     | __main__ | [SYSTEM] Testing integration with sample data...
2025-03-20 06:02:44 | INFO     | __main__ | [SYSTEM] Processing test context with Ranking Agent...
2025-03-20 06:09:30 | INFO     | __main__ | [SYSTEM] Initializing Memory Storage...
2025-03-20 06:09:30 | INFO     | __main__ | [SYSTEM] Starting Context Protocol Server...
2025-03-20 06:09:30 | INFO     | __main__ | [SYSTEM] Waiting for server to initialize...
2025-03-20 06:09:32 | INFO     | __main__ | [SYSTEM] Initializing Ranking Agent...
2025-03-20 06:09:32 | INFO     | __main__ | [SYSTEM] Testing integration with sample data...
2025-03-20 06:09:32 | INFO     | __main__ | [SYSTEM] Processing test context with Ranking Agent...
2025-03-20 06:09:43 | INFO     | __main__ | [SYSTEM] Ranking completed. Results:
2025-03-20 06:09:43 | INFO     | __main__ | [SYSTEM] Rank 1: Error correction remains the biggest challenge in quantum computing. (Score: 6.9)
2025-03-20 06:09:43 | INFO     | __main__ | [SYSTEM] Rank 2: Quantum machine learning is showing promise for certain optimization problems. (Score: 5.5)
2025-03-20 06:09:43 | INFO     | __main__ | [SYSTEM] Rank 3: Quantum computers have achieved quantum supremacy by solving problems no classical computer can solve. (Score: 5.3)
2025-03-20 06:09:43 | INFO     | __main__ | [SYSTEM] Verifying results in Context Protocol Server...
2025-03-20 06:09:43 | INFO     | __main__ | [SYSTEM] Check session session_247359c0 in Context Protocol Server
2025-03-20 06:09:43 | INFO     | __main__ | [SYSTEM] Integration test complete. Press Ctrl+C to exit...
2025-03-20 06:21:32 | INFO     | __main__ | [SYSTEM] Shutting down...
2025-03-20 06:21:43 | INFO     | __main__ | [SYSTEM] Initializing Memory Storage...
2025-03-20 06:21:44 | INFO     | __main__ | [SYSTEM] Starting Context Protocol Server...
2025-03-20 06:21:44 | INFO     | __main__ | [SYSTEM] Waiting for server to initialize...
2025-03-20 06:21:46 | INFO     | __main__ | [SYSTEM] Initializing Ranking Agent...
2025-03-20 06:21:46 | INFO     | __main__ | [SYSTEM] Testing integration with sample data...
2025-03-20 06:21:46 | INFO     | __main__ | [SYSTEM] Processing test context with Ranking Agent...
2025-03-20 06:21:57 | INFO     | __main__ | [SYSTEM] Ranking completed. Results:
2025-03-20 06:21:57 | INFO     | __main__ | [SYSTEM] Rank 1: Error correction remains the biggest challenge in quantum computing. (Score: 6.9)
2025-03-20 06:21:57 | INFO     | __main__ | [SYSTEM] Rank 2: Quantum machine learning is showing promise for certain optimization problems. (Score: 5.5)
2025-03-20 06:21:57 | INFO     | __main__ | [SYSTEM] Rank 3: Quantum computers have achieved quantum supremacy by solving problems no classical computer can solve. (Score: 5.3)
2025-03-20 06:21:57 | INFO     | __main__ | [SYSTEM] Verifying results in Context Protocol Server...
2025-03-20 06:21:57 | INFO     | __main__ | [SYSTEM] Check session session_149d8136 in Context Protocol Server
2025-03-20 06:21:57 | INFO     | __main__ | [SYSTEM] Integration test complete. Press Ctrl+C to exit...
2025-03-20 09:33:19 | INFO     | __main__ | [SYSTEM] Shutting down...
2025-03-20 09:34:40 | INFO     | __main__ | [SYSTEM] Memory storage initialized
2025-03-20 09:34:40 | INFO     | __main__ | [SYSTEM] Context Protocol Server started at http://localhost:8000
2025-03-20 09:34:40 | ERROR    | __main__ | [SYSTEM] Error in main: SearchAPI.__init__() got an unexpected keyword argument 'api_key'
2025-03-20 09:48:47 | INFO     | __main__ | [SYSTEM] Memory storage initialized
2025-03-20 09:48:47 | INFO     | __main__ | [SYSTEM] Context Protocol Server started at http://localhost:8000
2025-03-20 09:48:47 | INFO     | __main__ | [SYSTEM] Agents initialized
2025-03-20 09:48:47 | INFO     | __main__ | [SYSTEM] Waiting for Context Protocol Server to initialize...
2025-03-20 09:48:49 | INFO     | __main__ | [SYSTEM] System running. Press Ctrl+C to exit...
2025-03-20 09:49:00 | INFO     | __main__ | [SYSTEM] Shutting down...
2025-03-20 13:01:59 | INFO     | __main__ | [SYSTEM] Initializing The Second Mind system...
2025-03-20 13:02:56 | INFO     | __main__ | [SYSTEM] Initializing The Second Mind system...
2025-03-20 13:04:04 | INFO     | __main__ | [SYSTEM] Research session {'meta_review_results': [{'item': {'item': {'item': [], 'proximity_score': 0.0}, 'review_score': 0.0}, 'review_score': 0.0}]} started for topic: Renewable energy for urban areas
2025-03-20 14:12:00 | INFO     | __main__ | [SYSTEM] Initializing The Second Mind system...
2025-03-20 14:13:01 | INFO     | __main__ | [SYSTEM] Research session {'meta_review_results': [{'item': {'item': {'item': [], 'proximity_score': 0.0}, 'review_score': 0.0}, 'review_score': 0.0}]} started for topic: Renewable energy for urban areas
2025-03-20 14:13:26 | INFO     | __main__ | [SYSTEM] Shutting down The Second Mind system...
